HeartRate,Temperature,SystolicBloodPressure,DiastolicBloodPressure
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
91,36.721,100,62
76,36.515,94,65
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
61,37.231,113,68
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
83,37.316,105,78
95,36.951,105,79
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
66,37.47,97,75
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
72,36.752,94,62
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
90,37.027,94,64
87,36.554,97,74
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
88,37.244,119,66
88,37.257,113,70
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
77,36.533,100,67
62,37.363,108,68
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
94,37.041,110,74
93,36.849,98,63
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
73,36.638,112,74
64,37.438,95,66
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
96,36.581,104,67
61,36.961,92,68
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
91,36.721,100,62
73,36.638,112,74
64,37.438,95,66
96,36.581,104,67
61,36.961,92,68
